nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
Brandon Ingram,F,0 days 00:40:59,31.0,4.0,8.0,1.0,2.0,12.0,31.0,38.7,1.0,6.0,16.7,6.0,6.0,100.0,1.0,3.0,1.0,0.0,-6.0,False,False,50.0
Zion Williamson,F,0 days 00:35:08,24.0,10.0,2.0,1.0,1.0,9.0,19.0,47.4,0.0,0.0,0.0,6.0,8.0,75.0,4.0,6.0,3.0,2.0,18.0,False,False,42.0
Steven Adams,C,0 days 00:31:01,10.0,8.0,0.0,3.0,0.0,4.0,7.0,57.1,0.0,0.0,0.0,2.0,4.0,50.0,4.0,4.0,4.0,5.0,3.0,False,False,22.0
Eric Bledsoe,G,0 days 00:34:23,12.0,11.0,5.0,0.0,0.0,4.0,9.0,44.4,1.0,3.0,33.3,3.0,4.0,75.0,2.0,9.0,4.0,5.0,1.0,False,False,30.0
Lonzo Ball,G,0 days 00:38:09,18.0,6.0,6.0,0.0,0.0,7.0,11.0,63.6,4.0,6.0,66.7,0.0,0.0,0.0,0.0,6.0,4.0,5.0,-2.0,False,False,35.0
Josh Hart,,0 days 00:29:30,3.0,10.0,3.0,0.0,0.0,1.0,5.0,20.0,0.0,2.0,0.0,1.0,1.0,100.0,1.0,9.0,0.0,0.0,-9.0,False,False,16.0
JJ Redick,,0 days 00:33:58,3.0,1.0,1.0,0.0,0.0,1.0,9.0,11.1,1.0,6.0,16.7,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-2.0,False,False,3.0
Jaxson Hayes,,0 days 00:14:52,9.0,5.0,0.0,0.0,1.0,4.0,5.0,80.0,0.0,0.0,0.0,1.0,1.0,100.0,2.0,3.0,1.0,1.0,-6.0,False,False,18.0
Nickeil Alexander-Walker,,0 days 00:11:58,6.0,2.0,1.0,0.0,0.0,2.0,5.0,40.0,2.0,4.0,50.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-7.0,False,False,12.0
Wenyen Gabriel,,,,,,,,,,,,,,,,,,,,,,True,False,
Willy Hernangomez,,,,,,,,,,,,,,,,,,,,,,True,False,
Kira Lewis Jr.,,,,,,,,,,,,,,,,,,,,,,True,False,
Will Magnay,,,,,,,,,,,,,,,,,,,,,,True,False,
Naji Marshall,,,,,,,,,,,,,,,,,,,,,,True,False,
Nicolo Melli,,,,,,,,,,,,,,,,,,,,,,True,False,
-,-,0 days 04:25:00,116.0,57.0,26.0,5.0,4.0,44.0,101.0,43.6,9.0,27.0,33.3,19.0,24.0,79.2,16.0,41.0,18.0,20.0,,False,False,228.0
